Entry	Entry name	Status	Protein names	Gene names	Organism	Length
A0A171J5P6	A0A171J5P6_LACRH	unreviewed	ABC transporter ATPase/permease	BN934_01012	Lactobacillus rhamnosus	530
A0A171J5I9	A0A171J5I9_LACRH	unreviewed	Beta-lactamase class C-like penicillin binding protein	BN934_00955	Lactobacillus rhamnosus	341
A0A171J3T6	A0A171J3T6_LACRH	unreviewed	Maltose regulon modulator malY	malY_1 BN934_00350	Lactobacillus rhamnosus	388
A0A171J411	A0A171J411_LACRH	unreviewed	Fructose/tagatose bisphosphate aldolase	BN934_00425	Lactobacillus rhamnosus	286
A0A171J7H1	A0A171J7H1_LACRH	unreviewed	Amylopullulanase (GH13)	amy BN934_01645	Lactobacillus rhamnosus	592
A0A171JAA1	A0A171JAA1_LACRH	unreviewed	Adenine-specific DNA methylase	laaG BN934_02637	Lactobacillus rhamnosus	337
A0A171J3G5	A0A171J3G5_LACRH	unreviewed	Glutamate dehydrogenase	gdhA BN934_00228	Lactobacillus rhamnosus	447
A0A171J3J1	A0A171J3J1_LACRH	unreviewed	Branched-chain amino acid transport system carrier protein	brnQ BN934_00254	Lactobacillus rhamnosus	463
A0A171J631	A0A171J631_LACRH	unreviewed	Lipoate-protein ligase A	BN934_01148	Lactobacillus rhamnosus	282
A0A171J8W6	A0A171J8W6_LACRH	unreviewed	LysR family transcriptional regulator	hypR_1 BN934_02148	Lactobacillus rhamnosus	296
A0A171J7Y7	A0A171J7Y7_LACRH	unreviewed	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5)	nadE BN934_01815	Lactobacillus rhamnosus	275
A0A171J2X9	A0A171J2X9_LACRH	unreviewed	HAD family sugar phosphatase	BN934_00039	Lactobacillus rhamnosus	179
A0A171J3H3	A0A171J3H3_LACRH	unreviewed	ABC-type multidrug transport system, ATPase and permease component	BN934_00236	Lactobacillus rhamnosus	593
A0A171J3G6	A0A171J3G6_LACRH	unreviewed	L-lactate dehydrogenase (L-LDH) (EC 1.1.1.27)	ldh BN934_00229	Lactobacillus rhamnosus	312
A0A171J4B1	A0A171J4B1_LACRH	unreviewed	Lactose transport regulator	BN934_00526	Lactobacillus rhamnosus	252
A0A171J8M8	A0A171J8M8_LACRH	unreviewed	RNA-binding protein, ASCH domain	BN934_02059	Lactobacillus rhamnosus	158
A0A171J8R6	A0A171J8R6_LACRH	unreviewed	Membrane protein	yitT BN934_02098	Lactobacillus rhamnosus	306
A0A171J8W3	A0A171J8W3_LACRH	unreviewed	Uncharacterized protein	BN934_02145	Lactobacillus rhamnosus	75
A0A171J947	A0A171J947_LACRH	unreviewed	ABC transporter ATP-binding protein	yfmR BN934_02229	Lactobacillus rhamnosus	637
A0A171J4P5	A0A171J4P5_LACRH	unreviewed	Uncharacterized protein	BN934_00660	Lactobacillus rhamnosus	74
A0A171J5A2	A0A171J5A2_LACRH	unreviewed	Glutamine-binding protein / glutamine transporter permease	glnP BN934_00868	Lactobacillus rhamnosus	469
A0A171J6Z3	A0A171J6Z3_LACRH	unreviewed	SAM-dependent methyltransferase	BN934_01466	Lactobacillus rhamnosus	185
A0A171J6Z7	A0A171J6Z7_LACRH	unreviewed	Protein tyrosine/serine phosphatase	ptp3 BN934_01471	Lactobacillus rhamnosus	262
A0A171J7A2	A0A171J7A2_LACRH	unreviewed	Phage infection protein	pip BN934_01576	Lactobacillus rhamnosus	910
A0A171J7G2	A0A171J7G2_LACRH	unreviewed	Integral membrane protein	BN934_01636	Lactobacillus rhamnosus	276
A0A171J7N9	A0A171J7N9_LACRH	unreviewed	Chromosome segregation protein SMC	BN934_01714	Lactobacillus rhamnosus	1141
A0A171J8B6	A0A171J8B6_LACRH	unreviewed	HxlR family transcriptional regulator	yodB BN934_01946	Lactobacillus rhamnosus	146
A0A171J8H2	A0A171J8H2_LACRH	unreviewed	Dihydroxyacetone kinase-like protein	BN934_02003	Lactobacillus rhamnosus	558
A0A171J9K4	A0A171J9K4_LACRH	unreviewed	LysR family transcriptional regulator	hypR_2 BN934_02386	Lactobacillus rhamnosus	294
A0A171J9Z8	A0A171J9Z8_LACRH	unreviewed	Uncharacterized protein	BN934_02532	Lactobacillus rhamnosus	248
A0A171J3X6	A0A171J3X6_LACRH	unreviewed	Alpha-glucosidase	malL BN934_00390	Lactobacillus rhamnosus	446
A0A171J5G3	A0A171J5G3_LACRH	unreviewed	Uncharacterized protein	BN934_00929	Lactobacillus rhamnosus	285
A0A171J8P0	A0A171J8P0_LACRH	unreviewed	Uncharacterized protein	BN934_02071	Lactobacillus rhamnosus	425
A0A171J808	A0A171J808_LACRH	unreviewed	RNA methyltransferase	rumA_1 BN934_01837	Lactobacillus rhamnosus	455
A0A171J9A5	A0A171J9A5_LACRH	unreviewed	Metallo-beta-lactamase superfamily hydrolase protein	comEc BN934_02287	Lactobacillus rhamnosus	734
A0A171J892	A0A171J892_LACRH	unreviewed	Translation initiation factor IF-3	infC BN934_01922	Lactobacillus rhamnosus	154
A0A171JAL1	A0A171JAL1_LACRH	unreviewed	Zn-dependent peptidase	BN934_02748	Lactobacillus rhamnosus	420
A0A171JAG9	A0A171JAG9_LACRH	unreviewed	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	uvrA_2 uvrA BN934_02706	Lactobacillus rhamnosus	964
A0A171J7G9	A0A171J7G9_LACRH	unreviewed	Uncharacterized protein	BN934_01643	Lactobacillus rhamnosus	51
A0A171J4L0	A0A171J4L0_LACRH	unreviewed	Membrane protein	BN934_00625	Lactobacillus rhamnosus	328
A0A171J7X6	A0A171J7X6_LACRH	unreviewed	Peptide ABC transporter ATPase	BN934_01803	Lactobacillus rhamnosus	772
A0A171J9M0	A0A171J9M0_LACRH	unreviewed	Glutathione biosynthesis bifunctional protein	BN934_02402	Lactobacillus rhamnosus	653
A0A171JAL4	A0A171JAL4_LACRH	unreviewed	Putative tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase)	BN934_02751	Lactobacillus rhamnosus	169
A0A171J8F6	A0A171J8F6_LACRH	unreviewed	DNA repair protein RecN (Recombination protein N)	recN BN934_01987	Lactobacillus rhamnosus	567
A0A171J3C9	A0A171J3C9_LACRH	unreviewed	Uncharacterized protein	BN934_00192	Lactobacillus rhamnosus	43
A0A171J511	A0A171J511_LACRH	unreviewed	ABC transporter ATP-binding protein	BN934_00776	Lactobacillus rhamnosus	302
A0A171J6D0	A0A171J6D0_LACRH	unreviewed	Transporter major facilitator superfamily MFS_1	BN934_01253	Lactobacillus rhamnosus	394
A0A171J9M8	A0A171J9M8_LACRH	unreviewed	Uncharacterized protein	BN934_02410	Lactobacillus rhamnosus	34
A0A171J6F9	A0A171J6F9_LACRH	unreviewed	Putative multicopper oxidase	BN934_01282	Lactobacillus rhamnosus	510
A0A171J843	A0A171J843_LACRH	unreviewed	Antimicrobial peptide ABC transporter permease	BN934_01872	Lactobacillus rhamnosus	691
A0A171J859	A0A171J859_LACRH	unreviewed	Gas vesicle protein	BN934_01889	Lactobacillus rhamnosus	119
A0A171J9U8	A0A171J9U8_LACRH	unreviewed	Uncharacterized protein	BN934_02482	Lactobacillus rhamnosus	90
A0A171J5V1	A0A171J5V1_LACRH	unreviewed	Uncharacterized protein	BN934_01067	Lactobacillus rhamnosus	84
A0A171JA75	A0A171JA75_LACRH	unreviewed	Extracellular protein	BN934_02611	Lactobacillus rhamnosus	46
A0A171J5H0	A0A171J5H0_LACRH	unreviewed	D,D-heptose 1,7-bisphosphate phosphatase (EC 3.1.3.-)	BN934_00936	Lactobacillus rhamnosus	176
A0A171J8W4	A0A171J8W4_LACRH	unreviewed	Lipoate--protein ligase (EC 6.3.1.20)	BN934_02146	Lactobacillus rhamnosus	337
A0A171JAP5	A0A171JAP5_LACRH	unreviewed	MerR family transcriptional regulator	glnR BN934_02783	Lactobacillus rhamnosus	156
A0A171J6D4	A0A171J6D4_LACRH	unreviewed	Transcriptional modulator of MazE/toxin, MazF	mazF BN934_01257	Lactobacillus rhamnosus	115
A0A171J6G6	A0A171J6G6_LACRH	unreviewed	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2)	fumC BN934_01289	Lactobacillus rhamnosus	459
A0A171J4R1	A0A171J4R1_LACRH	unreviewed	N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase)	murQ_1 murQ BN934_00676	Lactobacillus rhamnosus	310
A0A171J978	A0A171J978_LACRH	unreviewed	Short-chain dehydrogenase/reductase family oxidoreductase	dltE BN934_02260	Lactobacillus rhamnosus	261
A0A171J3Q9	A0A171J3Q9_LACRH	unreviewed	Trehalose-6-phosphate hydrolase	treC_2 BN934_00323	Lactobacillus rhamnosus	561
A0A171J572	A0A171J572_LACRH	unreviewed	Hydrolase of the HAD superfamily protein	BN934_00837	Lactobacillus rhamnosus	261
A0A171J4V8	A0A171J4V8_LACRH	unreviewed	Crp-like transcriptional regulator	BN934_00723	Lactobacillus rhamnosus	219
A0A171J4Q9	A0A171J4Q9_LACRH	unreviewed	RpiR family transcriptional regulator	BN934_00674	Lactobacillus rhamnosus	289
A0A171J380	A0A171J380_LACRH	unreviewed	Nitroreductase	BN934_00143	Lactobacillus rhamnosus	219
A0A171J348	A0A171J348_LACRH	unreviewed	Cation-transporting ATPase	ctpE BN934_00108	Lactobacillus rhamnosus	782
A0A171J9H4	A0A171J9H4_LACRH	unreviewed	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase)	valS BN934_02356	Lactobacillus rhamnosus	880
A0A171J764	A0A171J764_LACRH	unreviewed	Major facilitator superfamily permease	BN934_01538	Lactobacillus rhamnosus	456
A0A171JAM0	A0A171JAM0_LACRH	unreviewed	3-carboxymuconate cyclase	ykgB BN934_02757	Lactobacillus rhamnosus	346
A0A171J600	A0A171J600_LACRH	unreviewed	ADP-ribose pyrophosphatase	BN934_01117	Lactobacillus rhamnosus	159
A0A171J4D1	A0A171J4D1_LACRH	unreviewed	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase (EC 1.1.1.18) (EC 1.1.1.369) (Myo-inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase)	iolG1 iolG BN934_00546	Lactobacillus rhamnosus	346
A0A171J5S3	A0A171J5S3_LACRH	unreviewed	Alpha,alpha-phosphotrehalase (GH13)	treC_3 BN934_01039	Lactobacillus rhamnosus	560
A0A171J9D7	A0A171J9D7_LACRH	unreviewed	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)	mtnN BN934_02319	Lactobacillus rhamnosus	236
A0A171J7Y8	A0A171J7Y8_LACRH	unreviewed	Beta-lactamase class C-like penicillin binding protein	pbpX_2 BN934_01816	Lactobacillus rhamnosus	386
A0A171J5X7	A0A171J5X7_LACRH	unreviewed	DNA helicase (EC 3.6.4.12)	BN934_01094	Lactobacillus rhamnosus	762
A0A171J6L7	A0A171J6L7_LACRH	unreviewed	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	deoB BN934_01340	Lactobacillus rhamnosus	396
A0A171J5K8	A0A171J5K8_LACRH	unreviewed	GntR family transcriptional regulator	BN934_00974	Lactobacillus rhamnosus	239
A0A171J2Z4	A0A171J2Z4_LACRH	unreviewed	Proline dipeptidase	BN934_00054	Lactobacillus rhamnosus	367
A0A171J410	A0A171J410_LACRH	unreviewed	Kinase	BN934_00424	Lactobacillus rhamnosus	211
A0A171J3M2	A0A171J3M2_LACRH	unreviewed	Glutamine amidotransferase	trpD_1 BN934_00286	Lactobacillus rhamnosus	275
A0A171J5E6	A0A171J5E6_LACRH	unreviewed	Alpha/beta superfamily hydrolase	BN934_00912	Lactobacillus rhamnosus	224
A0A171JA70	A0A171JA70_LACRH	unreviewed	Two component sensor transduction histidine kinase	phoR3 BN934_02605	Lactobacillus rhamnosus	513
A0A171J4G2	A0A171J4G2_LACRH	unreviewed	Hydrolase of the HAD superfamily protein	BN934_00577	Lactobacillus rhamnosus	218
A0A171J8Y8	A0A171J8Y8_LACRH	unreviewed	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase)	pyrF BN934_02170	Lactobacillus rhamnosus	239
A0A171J379	A0A171J379_LACRH	unreviewed	NAD-independent L-lactate dehydrogenase	loxL BN934_00142	Lactobacillus rhamnosus	368
A0A171J300	A0A171J300_LACRH	unreviewed	CBS domain-containing protein	ykuL BN934_00060	Lactobacillus rhamnosus	161
A0A171J3Y0	A0A171J3Y0_LACRH	unreviewed	Cobalt transport protein cbiQ	cbiQ_1 BN934_00394	Lactobacillus rhamnosus	278
A0A171J8Z3	A0A171J8Z3_LACRH	unreviewed	Uncharacterized protein	BN934_02175	Lactobacillus rhamnosus	316
A0A171J907	A0A171J907_LACRH	unreviewed	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	hisC_2 hisC BN934_02189	Lactobacillus rhamnosus	368
A0A171J4J1	A0A171J4J1_LACRH	unreviewed	Uncharacterized protein	BN934_00606	Lactobacillus rhamnosus	48
A0A171J4P7	A0A171J4P7_LACRH	unreviewed	ABC transporter permease	BN934_00662	Lactobacillus rhamnosus	253
A0A171J4U2	A0A171J4U2_LACRH	unreviewed	Transporter major facilitator superfamily MFS_1	BN934_00707	Lactobacillus rhamnosus	608
A0A171J5N5	A0A171J5N5_LACRH	unreviewed	Uncharacterized protein	BN934_01001	Lactobacillus rhamnosus	122
A0A171J5Z5	A0A171J5Z5_LACRH	unreviewed	IpaB/EvcA family protein	BN934_01112	Lactobacillus rhamnosus	308
A0A171JA20	A0A171JA20_LACRH	unreviewed	Glycosyl transferase group 8	BN934_02554	Lactobacillus rhamnosus	301
A0A171J4M7	A0A171J4M7_LACRH	unreviewed	Permease IIC component	celD BN934_00642	Lactobacillus rhamnosus	454
A0A171J7D1	A0A171J7D1_LACRH	unreviewed	MFS superfamily transporter	BN934_01605	Lactobacillus rhamnosus	485
A0A171J7N0	A0A171J7N0_LACRH	unreviewed	Putative replicative protein	BN934_01704	Lactobacillus rhamnosus	281
A0A171J9I1	A0A171J9I1_LACRH	unreviewed	Uncharacterized protein	BN934_02363	Lactobacillus rhamnosus	805
A0A171J3G3	A0A171J3G3_LACRH	unreviewed	Uncharacterized protein	BN934_00226	Lactobacillus rhamnosus	142
A0A171J6K7	A0A171J6K7_LACRH	unreviewed	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase)	proB BN934_01330	Lactobacillus rhamnosus	278
A0A171J8A2	A0A171J8A2_LACRH	unreviewed	RNA-binding protein	yqeI BN934_01932	Lactobacillus rhamnosus	103
A0A171J936	A0A171J936_LACRH	unreviewed	Uncharacterized protein	BN934_02218	Lactobacillus rhamnosus	930
A0A171J8U8	A0A171J8U8_LACRH	unreviewed	ATP-dependent helicase/nuclease subunit A (EC 3.1.-.-) (EC 3.6.4.12) (ATP-dependent helicase/nuclease AddA)	rexA addA BN934_02130	Lactobacillus rhamnosus	1236
A0A171J8N8	A0A171J8N8_LACRH	unreviewed	Cell surface protein	BN934_02069	Lactobacillus rhamnosus	79
A0A171J9S4	A0A171J9S4_LACRH	unreviewed	Dipeptidase	BN934_02457	Lactobacillus rhamnosus	476
A0A171J358	A0A171J358_LACRH	unreviewed	LysR family transcriptional regulator	mleR BN934_00118	Lactobacillus rhamnosus	292
A0A171J8V6	A0A171J8V6_LACRH	unreviewed	Penicillin-binding protein 1A	pbp1A BN934_02138	Lactobacillus rhamnosus	769
A0A171J3E6	A0A171J3E6_LACRH	unreviewed	Ammonium transporter	amtB BN934_00209	Lactobacillus rhamnosus	438
A0A171J7N7	A0A171J7N7_LACRH	unreviewed	XRE family transcriptional regulator	lciIC BN934_01712	Lactobacillus rhamnosus	108
A0A171J7U4	A0A171J7U4_LACRH	unreviewed	Uncharacterized protein	BN934_01769	Lactobacillus rhamnosus	203
A0A171J4H3	A0A171J4H3_LACRH	unreviewed	Uncharacterized protein	BN934_00588	Lactobacillus rhamnosus	101
A0A171J635	A0A171J635_LACRH	unreviewed	Uncharacterized protein	BN934_01152	Lactobacillus rhamnosus	118
A0A171J6P1	A0A171J6P1_LACRH	unreviewed	Membrane protein	BN934_01364	Lactobacillus rhamnosus	338
A0A171J8K1	A0A171J8K1_LACRH	unreviewed	Methyltransferase	yabB BN934_02032	Lactobacillus rhamnosus	247
A0A171J8V1	A0A171J8V1_LACRH	unreviewed	Aminotransferase (EC 2.6.1.-)	BN934_02133	Lactobacillus rhamnosus	391
A0A171J5R8	A0A171J5R8_LACRH	unreviewed	PTS system mannose-specific transporter subunit IIA	pts_12 BN934_01034	Lactobacillus rhamnosus	155
A0A171J5Y3	A0A171J5Y3_LACRH	unreviewed	LemA	BN934_01100	Lactobacillus rhamnosus	203
A0A171J5P1	A0A171J5P1_LACRH	unreviewed	Uncharacterized protein	BN934_01007	Lactobacillus rhamnosus	51
A0A171J7F1	A0A171J7F1_LACRH	unreviewed	Polysaccharide pyruvyl transferase	BN934_01625	Lactobacillus rhamnosus	361
A0A171J9V1	A0A171J9V1_LACRH	unreviewed	Uncharacterized protein	BN934_02485	Lactobacillus rhamnosus	121
A0A171J5H7	A0A171J5H7_LACRH	unreviewed	Membrane transporter	BN934_00943	Lactobacillus rhamnosus	105
A0A171J760	A0A171J760_LACRH	unreviewed	Membrane protein	BN934_01534	Lactobacillus rhamnosus	348
A0A171J7L5	A0A171J7L5_LACRH	unreviewed	NRAMP family Mn2/Fe2 transporter	mntH BN934_01689	Lactobacillus rhamnosus	451
A0A171JA15	A0A171JA15_LACRH	unreviewed	PTS system beta-glucoside-specific transporter subunit IIABC	bglH BN934_02549	Lactobacillus rhamnosus	611
A0A171J716	A0A171J716_LACRH	unreviewed	N-acetyltransferase GCN5	BN934_01490	Lactobacillus rhamnosus	162
A0A171J9Y0	A0A171J9Y0_LACRH	unreviewed	Uncharacterized protein	BN934_02514	Lactobacillus rhamnosus	56
A0A171J3C3	A0A171J3C3_LACRH	unreviewed	Uncharacterized protein	BN934_00186	Lactobacillus rhamnosus	244
A0A171JAV3	A0A171JAV3_LACRH	unreviewed	XRE family transcriptional regulator	BN934_02842	Lactobacillus rhamnosus	117
A0A171J3F7	A0A171J3F7_LACRH	unreviewed	Transcription initiation factor TFIID, subunit TAF12 (Also component of histone acetyltransferase SAGA)	BN934_00220	Lactobacillus rhamnosus	734
A0A171J4J7	A0A171J4J7_LACRH	unreviewed	Uncharacterized protein	BN934_00612	Lactobacillus rhamnosus	266
A0A171J5F4	A0A171J5F4_LACRH	unreviewed	Hsp20 family small heat shock protein	hsp BN934_00920	Lactobacillus rhamnosus	147
A0A171J8E9	A0A171J8E9_LACRH	unreviewed	N utilization substance protein B homolog (Protein NusB)	nusB BN934_01980	Lactobacillus rhamnosus	151
A0A171J440	A0A171J440_LACRH	unreviewed	Amino acid transporter	BN934_00454	Lactobacillus rhamnosus	482
A0A171JA96	A0A171JA96_LACRH	unreviewed	Lipopolysaccharide biosynthesis glycosyltransferase	arbY BN934_02632	Lactobacillus rhamnosus	318
A0A171J4F4	A0A171J4F4_LACRH	unreviewed	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.-) (16S rRNA 7-methylguanosine methyltransferase)	gidB rsmG BN934_00569	Lactobacillus rhamnosus	243
A0A171J8L0	A0A171J8L0_LACRH	unreviewed	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)	proS BN934_02041	Lactobacillus rhamnosus	576
A0A171JAV1	A0A171JAV1_LACRH	unreviewed	Phage antirepressor protein	BN934_02840	Lactobacillus rhamnosus	257
A0A171J7M5	A0A171J7M5_LACRH	unreviewed	Uncharacterized protein	BN934_01699	Lactobacillus rhamnosus	116
A0A171J9K8	A0A171J9K8_LACRH	unreviewed	Two component sensor transduction histidine kinase	hpk1 BN934_02390	Lactobacillus rhamnosus	301
A0A171JAB8	A0A171JAB8_LACRH	unreviewed	Transport permease protein	BN934_02654	Lactobacillus rhamnosus	133
A0A171J608	A0A171J608_LACRH	unreviewed	Two component sensor transduction histidine kinase	hpk4 BN934_01125	Lactobacillus rhamnosus	303
A0A171J538	A0A171J538_LACRH	unreviewed	Membrane protein insertase YidC (Foldase YidC) (Membrane integrase YidC) (Membrane protein YidC)	yidC BN934_00803	Lactobacillus rhamnosus	287
A0A171J7U8	A0A171J7U8_LACRH	unreviewed	50S ribosomal protein L33	rpmG BN934_01773	Lactobacillus rhamnosus	49
A0A171J4H8	A0A171J4H8_LACRH	unreviewed	Methanol dehydrogenase-like protein	BN934_00593	Lactobacillus rhamnosus	398
A0A171J4W1	A0A171J4W1_LACRH	unreviewed	Cation transport ATPase	cadA_2 BN934_00726	Lactobacillus rhamnosus	632
A0A171J452	A0A171J452_LACRH	unreviewed	Cobalt ABC transporter ATPase and permeases	nisT BN934_00466	Lactobacillus rhamnosus	533
A0A171J3R3	A0A171J3R3_LACRH	unreviewed	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIC	BN934_00327	Lactobacillus rhamnosus	268
A0A171J5U4	A0A171J5U4_LACRH	unreviewed	Sodium/sulfate symporter	BN934_01060	Lactobacillus rhamnosus	463
A0A171J974	A0A171J974_LACRH	unreviewed	BS_ykrK family protein	BN934_02256	Lactobacillus rhamnosus	184
A0A171J3J8	A0A171J3J8_LACRH	unreviewed	Cysteine synthase (EC 2.5.1.47)	BN934_00262	Lactobacillus rhamnosus	309
A0A171J9K0	A0A171J9K0_LACRH	unreviewed	Uncharacterized protein	BN934_02382	Lactobacillus rhamnosus	36
A0A171JAK0	A0A171JAK0_LACRH	unreviewed	ComF operon protein 1	comFA BN934_02737	Lactobacillus rhamnosus	421
A0A171J4Q8	A0A171J4Q8_LACRH	unreviewed	TetR family transcriptional regulator	BN934_00673	Lactobacillus rhamnosus	201
A0A171J5L9	A0A171J5L9_LACRH	unreviewed	Lactose transport regulator DeoR family protein	BN934_00985	Lactobacillus rhamnosus	258
A0A171J416	A0A171J416_LACRH	unreviewed	Uncharacterized protein	BN934_00430	Lactobacillus rhamnosus	71
A0A171J5N6	A0A171J5N6_LACRH	unreviewed	Membrane protein	BN934_01002	Lactobacillus rhamnosus	259
A0A171J7A1	A0A171J7A1_LACRH	unreviewed	Sucrose PTS, EIIBCA	BN934_01575	Lactobacillus rhamnosus	654
A0A171JA28	A0A171JA28_LACRH	unreviewed	Ribonuclease BN-like family protein	BN934_02562	Lactobacillus rhamnosus	334
A0A171J420	A0A171J420_LACRH	unreviewed	Transporter major facilitator superfamily MFS_1	BN934_00434	Lactobacillus rhamnosus	176
A0A171J425	A0A171J425_LACRH	unreviewed	Uncharacterized protein	BN934_00439	Lactobacillus rhamnosus	174
A0A171J6Y1	A0A171J6Y1_LACRH	unreviewed	Amino acid transporter	BN934_01454	Lactobacillus rhamnosus	608
A0A171J8U9	A0A171J8U9_LACRH	unreviewed	DNA polymerase III Rad3-related DNA helicase	dinG BN934_02131	Lactobacillus rhamnosus	933
A0A171J9W4	A0A171J9W4_LACRH	unreviewed	GcrA cell cycle regulator	BN934_02498	Lactobacillus rhamnosus	382
A0A171J445	A0A171J445_LACRH	unreviewed	Hydroxyethylthiazole permease	thiW BN934_00459	Lactobacillus rhamnosus	166
A0A171J905	A0A171J905_LACRH	unreviewed	Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19)	hisI BN934_02187	Lactobacillus rhamnosus	110
A0A171J419	A0A171J419_LACRH	unreviewed	MFS superfamily transporter	BN934_00433	Lactobacillus rhamnosus	289
A0A171J742	A0A171J742_LACRH	unreviewed	Membrane spanning protein	pfoSR BN934_01516	Lactobacillus rhamnosus	347
A0A171J8L6	A0A171J8L6_LACRH	unreviewed	Translation initiation factor IF-2	infB BN934_02047	Lactobacillus rhamnosus	932
A0A171J2Z1	A0A171J2Z1_LACRH	unreviewed	MutT/nudix family phosphohydrolase	BN934_00051	Lactobacillus rhamnosus	103
A0A171J601	A0A171J601_LACRH	unreviewed	Uracil-xanthine permease	yunF BN934_01118	Lactobacillus rhamnosus	274
A0A171J9Q3	A0A171J9Q3_LACRH	unreviewed	ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b)	atpF BN934_02435	Lactobacillus rhamnosus	162
A0A171J7B3	A0A171J7B3_LACRH	unreviewed	N-acetylmuramoyl-L-alanine amidase	BN934_01587	Lactobacillus rhamnosus	1562
A0A171JA34	A0A171JA34_LACRH	unreviewed	ATP-dependent DNA helicase RecQ	recQ_2 BN934_02568	Lactobacillus rhamnosus	593
A0A171J4C0	A0A171J4C0_LACRH	unreviewed	Uncharacterized protein	BN934_00535	Lactobacillus rhamnosus	114
A0A171J8J3	A0A171J8J3_LACRH	unreviewed	Uncharacterized protein	BN934_02024	Lactobacillus rhamnosus	58
A0A171J9U4	A0A171J9U4_LACRH	unreviewed	Lj928 prophage protein	BN934_02478	Lactobacillus rhamnosus	1047
A0A171J3T9	A0A171J3T9_LACRH	unreviewed	Transcriptional regulator	BN934_00353	Lactobacillus rhamnosus	251
A0A171J7V8	A0A171J7V8_LACRH	unreviewed	Transcriptional regulator	BN934_01783	Lactobacillus rhamnosus	508
A0A171JAT4	A0A171JAT4_LACRH	unreviewed	Type I restriction-modification system methyltransferase subunit	BN934_02823	Lactobacillus rhamnosus	235
A0A171J4J9	A0A171J4J9_LACRH	unreviewed	Uncharacterized protein	BN934_00614	Lactobacillus rhamnosus	222
A0A171J5R9	A0A171J5R9_LACRH	unreviewed	Preprotein translocase YajC	BN934_01035	Lactobacillus rhamnosus	115
A0A171J634	A0A171J634_LACRH	unreviewed	Membrane protein	BN934_01151	Lactobacillus rhamnosus	291
A0A171J9F4	A0A171J9F4_LACRH	unreviewed	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD BN934_02336	Lactobacillus rhamnosus	459
A0A171J6D6	A0A171J6D6_LACRH	unreviewed	B3/4 domain-containing protein	BN934_01259	Lactobacillus rhamnosus	222
A0A171J6X0	A0A171J6X0_LACRH	unreviewed	PTS system cellobiose-specific transporter subunit IIB	celA_2 BN934_01443	Lactobacillus rhamnosus	108
A0A171J8P5	A0A171J8P5_LACRH	unreviewed	NADPH-quinone reductase	BN934_02076	Lactobacillus rhamnosus	196
A0A171J9W3	A0A171J9W3_LACRH	unreviewed	Phage-related HNH endonuclease	BN934_02497	Lactobacillus rhamnosus	178
A0A171J8H3	A0A171J8H3_LACRH	unreviewed	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG BN934_02004	Lactobacillus rhamnosus	679
A0A171J570	A0A171J570_LACRH	unreviewed	Uncharacterized protein	BN934_00835	Lactobacillus rhamnosus	58
A0A171J8D4	A0A171J8D4_LACRH	unreviewed	Aluminum resistance cystathionine beta-lyase family protein	ynbB BN934_01964	Lactobacillus rhamnosus	420
A0A171J9U2	A0A171J9U2_LACRH	unreviewed	Uncharacterized protein	BN934_02476	Lactobacillus rhamnosus	69
A0A171J349	A0A171J349_LACRH	unreviewed	Uncharacterized protein	BN934_00109	Lactobacillus rhamnosus	109
A0A171JA14	A0A171JA14_LACRH	unreviewed	Membrane protein	BN934_02548	Lactobacillus rhamnosus	882
A0A171J8B8	A0A171J8B8_LACRH	unreviewed	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit)	pheT_3 pheT BN934_01948	Lactobacillus rhamnosus	803
A0A171J4J2	A0A171J4J2_LACRH	unreviewed	Uncharacterized protein	BN934_00607	Lactobacillus rhamnosus	79
